All,Todos
"Add Products By SKU","Añadir artículos por SKU"
"Shopping Cart Management","Gestión de carrito de compras"
"View Shopping Cart","Ver cesta de la compras"
"View and modify Shopping Cart","Ver y modificar el carrito de compras"
"Order by SKU Settings","Comprar por la configuración de SKU"
"Enable Order by SKU on My Account in Storefront","Habilitar la compra por SKU en mi cuenta en tienda"
"Customer Groups","Grupos de cliente"
"Apply Coupon","Aplicar cupón"
"Order by SKU Description","Comprar por descripción SKU"
"Display a Link to Loading a Spreadsheet","Mostrar un enlace para cargar una hoja de cálculo"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Define si un enlace a mi cuenta &gt; comprar por página SKU aparecerá en el widget"
"Link Text","Texto del enlace"
"The text of the link to the My Account &gt; Order by SKU page","El texto del enlace a mi cuenta &gt; comprar por página SKU"
"Load a list of SKUs","Cargar una lista de SKU"
"Order by SKU Template","Pedido por la plantilla de SKU"
"SKU not found in catalog.","El SKU no se encuentra en el catálogo."
"This file needs to be in .csv format.","Este archivo debe estar en formato .csv ."
"This customer couldn't be found. Verify the customer and try again.","Este cliente no se encuentra. Verifique el cliente y vuelva a intentarlo."
"This store couldn't be found. Verify the store and try again.","Esta tienda no se encuentra. Verifique la tienda y vuelva a intentarlo."
"An error occurred. For details, see the error log.","Ha ocurrido un error. Para ver los detalles consultar el log del error."
"The ordered item needs to be loaded. Load the item and try again.","Los artículos seleccionados deben cargarse. Carga el articulo he inténtalo de nuevo."
"The quote item ID needs to be received. Set the ID and try again.","El ID de la cotización del artículo debe ser recibido. Establece el ID y vuelve a intentarlo."
"The quote item needs to be loaded. Load the item and try again.","La cotización del articulo debe ser cargada. Cargue el artículo y vuelva a intentarlo."
"The wish list item ID needs to be received. Set the ID and try again.","El ID del articulo de la lista de deseos debe recibirse. Crea el ID y prueba de nuevo."
"The wish list item needs to be loaded. Load the item and try again.","El articulo de la lista de deseos debe cargarse. Carga el articulo y prueba de nuevo."
"The file is corrupt and can't be used.","El archivo está dañado y no puede utilizarse."
"Please correct the data sent.","Por favor, corrija los datos enviados."
"Entity type model '%1' is not found","No se encuentra el modelo del tipo entidad '%1'"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Modelo de tipo de entidad debe ser una instancia de \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","No se dispone de ningún tipo de producto para la exportación"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","La clase %1 no implementa \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Regla de Ventas"
"Index sales rule","Indexar regla de venta"
"Related Search Terms","Términos de búsqueda relacionados"
"Add New Search Term","Añadir nuevo término de búsqueda"
button_label,etiqueta_boton
"Missing search engine parameter.","Falta el parámetro del motor de búsqueda."
"Successful! Test again?","¡Éxito! ¿Probar de nuevo?"
"Connection failed! Test again?","¡La conexión ha fallado! ¿Reintentar?"
"Enable Search Recommendations","Habilitar recomendaciones de búsqueda"
"When you enable this option your site may slow down.","Al habilitar esta opción puede ralentizar su sitio."
"Search Recommendations Count","Recuento de las recomendaciones de búsqueda"
"Show Results Count for Each Recommendation","Mostrar el recuento de resultados para cada recomendación"
"Enable Search Suggestions","Habilitar sugerencias de búsqueda"
"Search Suggestions Count","Recuento de sugerencias de búsqueda"
"Show Results Count for Each Suggestion","Mostrar recuento de resultados para cada sugerencia"
"Related search terms","Términos de búsqueda relacionados"
"Did you mean","Quisiste decir"
"Search Query","Término de búsqueda"
Store,Tienda
Results,Resultados
Uses,Usos
"Redirect URL","URL de redirección"
"Suggested Term","Término sugerido"
Yes,Sí
Synonym,Sinónimo
"RPC call failed, connection timed out after %time_out.","Error en la llamada RPC, después de %time_out, se agotó el tiempo de conexión."
"Message has been rejected: %1","El mensaje ha sido rechazado: %1"
"Error while checking if topic is synchronous","Error al comprobar si el tema es sincrónico"
"Subscription status","Estado de suscripción"
"Sorry, there has been an error processing your request. Please try again later.","Lo sentimos, ha habido un error al procesar su petición. Por favor Inténtalo más tarde."
"Time value has an unsupported format","El valor de Tiempo tiene un formato no válido"
"Cron settings can't be saved","La configuración de Cron no se puede guardar"
"There was an error save new configuration value.","Hubo un error al guardar el nuevo valor de configuración."
"Please select a vertical.","Por favor, seleccione una vertical."
"--Please Select--","--Por favor seleccione--"
"Command was not found.","Comando no encontrado."
"Input data must be string or convertible into string.","El valor introducido debe ser una cadena de texto o algo convertible a una cadena de texto."
"Input data must be non-empty string.","El valor introducido debe ser una cadena no vacía."
"Not valid cipher method.","Método de cifrado no válido."
"Encryption key can't be empty.","La clave de cifrado es obligatoria."
"Source ""%1"" is not exist","Origen ""%1"" no existe"
"These arguments can't be empty ""%1""","Estos argumentos no pueden quedar vacíos ""%1"""
"Cannot find predefined integration user!","¡No se puede encontrar el usuario de integración predefinido!"
"File is not ready yet.","El archivo todavía no esta preparado."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","La URL base ha cambiado y los informes están siendo actualizados. Los informes avanzados estarán disponibles cuando los cambios hayan sido procesados. Por favor inténtelo mas tarde."
"Failed to synchronize data to the Magento Business Intelligence service. ","Fallo al sincronizar los datos al servicio de Magento Business Intelligence. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Reintentar sincronización</a>"
TestMessage,MensajeDePrueba
"Apps and Games","Aplicaciones y juegos"
"Athletic/Sporting Goods","Artículos deportivos"
"Art and Design","Arte y diseño"
"Advanced Reporting","Informes avanzados"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Gane nuevas visitas y coge las riendas del rendimiento de tu negocio, usando nuestros informes dinámicos de productos, pedidos y clientes adaptados a los datos de sus clientes."
"Go to Advanced Reporting","Ir a Informes Avanzados"
Analytics,Análisis
Configuration,Configuración
"Business Intelligence","Inteligencia de Negocio"
"BI Essentials","Esenciales BI"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","Este servicio proporciona un conjunto dinámico de informes con información valiosa sobre su negocio.
                Puede acceder a sus informes de forma segura en un panel personalizado fuera del panel de administración haciendo clic en
                ""Ir al enlace de informes avanzados"".</br>Para más información, vea nuestro <a href=""https://magento.com/legal/terms/cloud-terms"">
                términos y Condiciones</a>."
"Advanced Reporting Service","Servicio de informes avanzados"
"Time of day to send data","Hora del día para enviar los datos"
Industry,"Tipo de negocio"
"In order to personalize your Advanced Reporting experience, please select your industry.","Para personalizar la experiencia en informes avanzados, por favor seleccione el tipo de negocio."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Obtén mas ideas con Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence le proporciona un camino sencillo y claro para
                    convertirse en más datos.</br> Más información sobre <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a>tiers."
"Auto Parts","Piezas de automóvil"
"Baby/Children’s Apparel, Gear and Toys","Ropa de bebés y niños, engranaje y juguetes"
"Beauty and Cosmetics","Belleza y cosmética"
"Books, Music and Magazines","Libros, música y revistas"
"Crafts and Stationery","Artesanías y artículos de papelería"
"Consumer Electronics","Consumibles electronicos"
"Deal Site","Sitio de ofertas"
"Fashion Apparel and Accessories","Accesorios y ropa de moda"
"Food, Beverage and Grocery","Alimentos, bebidas y comestibles"
"Home Goods and Furniture","Muebles y artículos para el hogar"
"Home Improvement","Mejoras para el hogar"
"Jewelry and Watches","Joyas y relojes"
"Mass Merchant","Comerciante al por mayor"
"Office Supplies","Material de oficina"
"Outdoor and Camping Gear","Engranaje al aire libre y Camping"
"Pet Goods","Productos para mascotas"
"Pharma and Medical Devices","Industria farmacéutica y dispositivos médicos"
"Technology B2B","Tecnología B2B"
Other,Otro
"The time value is using an unsupported format. Enter a supported format and try again.","El valor del tiempo está usando un formato no compatible. Entrar un formato compatible y vuelva a intentarlo."
"Please select an industry.","Seleccione una industria."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Los datos no son válidos. Ingrese los datos como una cadena o datos que se pueden convertir en una cadena y vuelva a intentarlo."
"The data is invalid. Enter the data as a string and try again.","Los datos no son válidos. Ingrese los datos como una cadena y vuelva a intentarlo."
"The data is invalid. Use a valid cipher method and try again.","Los datos no son válidos. Utilizar un método de cifrado válido y vuelva a intentarlo."
"Enter the encryption key and try again.","Introduzca la clave de cifrado y vuelva a intentarlo."
"The ""%1"" source doesn't exist.","El origen de ""%1"" no existe."
"Retry Synchronization","Reintentar sincronización"
Done,Hecho
Retry,Reintentar
"'Action Details - #' .","'Detalles de la acción - #'."
"%1 item(s) have been scheduled for update.""","%1 de elemento(s) han sido catalogados para actualizacion"
"Bulk Actions Log","Registro de acciones en volumen"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid no existe"
"Topic %1","Tema %1"
"Something went wrong while processing the request.","Algo salió mal al procesar la solicitud."
"Error processing %key element of input data","Error al procesar el elemento clave % de datos de entrada"
"Sorry, something went wrong during product prices update. Please see log for details.","Lo sentimos, algo salió mal durante la actualización de los precios del producto. Por favor, consulte el registro para más detalles."
"%1 item(s) are currently being updated.","%1 elemento(s) esta siendo actualizado."
"Task ""%1"": ","Tarea ""%1"": "
"%1 item(s) have been scheduled for update.","%1 de elemento(s) han sido catalogados para actualizacion."
"%1 item(s) have been successfully updated.","%1 elemento(s) han sido actualizados correctamente."
"%1 item(s) failed to update","%1 elemento(s) fallo al actualizarse"
Details,Detalles
"View Details","Mostrar detalles"
Dismiss,Descartar
"Pending, in queue...","Pendiente, en lista de espera..."
"%1 items selected for mass update","%1 elementos seleccionados para la actualización masiva"
", %1 successfully updated",", %1 actualizado correctamente"
", %1 failed to update",", %1 no pudo actualizar"
"Something went wrong.","Algo salió mal."
"Action Log","Registro de acciones"
Report,Informe
"Bulk Actions","Acciones masivas"
"Action Logs","Registro de acciones"
"Days Saved in Log","Días guardados en registro"
"Description of Operation","Descripción de la operación"
Summary,Resumen
"Start Time","Hora de inicio"
"Items to Retry","Elementos a reintentar"
"To retry, select the items and click “Retry”.","Para volver a intentar, seleccione los elementos y haga clic en ""Reintentar""."
"Items That Can’t Be Updated.","Elementos que no se pueden actualizar."
Status,Estatus
"Meta Information","Meta Información"
"Dismiss All Completed Tasks","Descartar Todas las Tareas Completadas"
"Action Details - #","Detalles de la acción - #"
"Number of Records Affected","Número de registros afectados"
"We can't find the role for the user you wanted.","No se puede encontrar el role para el usuario deseado."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Algo salió mal mientras se compilaba una lista de recursos permitidos. Puedes encontrar más información en el registro de excepciones."
"The role wasn't found for the user. Verify the role and try again.","El cargo no se ha encontrado para el usuario. Verifica el cargo y prueba de nuevo."
"You created the order.","Creó el pedido."
"Order saving error: %1","Error al almacenar la orden: %1"
"Please choose a payment method.","Por favor, elija un método de pago."
"We can't process your order right now. Please try again later.","No se puede procesar su pedido ahora. Por favor, inténtelo más tarde."
"An error occurred on the server. Please try to place the order again.","Se ha producido un error en el servidor. Intente realizar el pedido de nuevo."
"Credit Card: xxxx-%1","Tarjeta de crédito: xxxx-%1"
"amount %1","monto %1"
failed.,falló.
successful.,exitoso.
"Authorize.Net Transaction ID %1.","ID de transacción Authorize.Net: %1."
authorize,autorizar
"authorize and capture","autorizar y registrar"
capture,captura
refund,reembolso
void,vacío
"Gateway error: %1","Error de pasarela: %1"
"Something went wrong in the payment gateway.","Algo salió mal en la pasarela de pago."
"Invalid amount for capture.","Monto inválido para captura."
"Payment capturing error.","Error en la captura del pago."
"Invalid transaction ID.","ID de transacción no válida."
"Payment voiding error.","Error de anulación de pago."
"Invalid amount for refund.","Monto inválido para reembolso."
"Payment refunding error.","Error de reembolso de pago."
"The transaction was declined because the response hash validation failed.","La transacción fue rechazada porque la validación de la respuesta falló."
"This payment didn't work out because we can't find this order.","Este pago no funcionó porque no podemos encontrar este pedido."
"There was a payment authorization error.","Hubo un error en la autorización de pago."
"Please enter a transaction ID to authorize this payment.",test
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Algo salió mal: el monto pagado no coincide con el total del pedido. Por favor, corrija esto y vuelva a intentarlo."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","La transacción %1 ha sido aprobada. Importe %2. El estado de la transacción es ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","La transacción %1 ha sido anulada/declinada. El estado de transacción es ""%2"". Importe %3."
"Authorize Only","Sólo Autorizar"
"Authorize and Capture","Autorizar y Capturar"
"Unable to get transaction details. Try again later.","No se pueden obtener detalles de la transacción. Inténtelo más tarde."
"Electronic payments save the trees.","Los pagos electrónicos salvan a los árboles."
"Credit Card Type","Tipo de tarjeta de crédito"
"Please Select","Bitte auswählen"
"Credit Card Number","Número de tarjeta de crédito"
"Expiration Date","Fecha de vencimiento"
"Card Verification Number","Número de verificación de tarjeta"
"Fraud Detection ","Detección de fraude "
"FDS Filter Action","Acción de filtrado FDS"
"AVS Response","Respuesta AVS"
"Card Code Response","Respuesta de código de tarjeta"
"CAVV Response","Respuesta CAVV"
"Fraud Filters","Filtros de fraude"
"Place Order","Realizar pedido"
"Sorry, but something went wrong. Please contact the seller.","Lo sentimos, pero algo salió mal. Por favor, póngase en contacto con el vendedor."
"Authorize.net Direct Post","Post directo de Authorize.net"
Enabled,Habilitado
"Payment Action","Acción de pago"
Title,Título
"API Login ID","ID de acceso de la API"
"Transaction Key","Clave de transacción"
"Merchant MD5","MD5 del Vendedor"
"New Order Status","Nuevo estado del pedido"
"Test Mode","Modo de prueba"
"Gateway URL","URL de la pasarela"
"Transaction Details URL","URL de los Detalles de la transacción"
"Accepted Currency","Moneda Aceptada"
Debug,Depurar
"Email Customer","Correo electrónico del Cliente"
"Merchant's Email","Correo electrónico del vendedor"
"Credit Card Types","Tipos de tarjeta de crédito"
"Credit Card Verification","Verificación de la tarjeta de crédito"
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Minimum Order Total","Total mínimo del pedido"
"Maximum Order Total","Total máximo del pedido"
"Sort Order","Orden de aparición"
"Cannot place order.","No se puede realizar el pedido."
"'Gateway error: ' .","'Error de puerta de enlace:' ."
"Unable to place order. Please try again later.","No ha sido posible crear el pedido. Por favor inténtalo de nuevo más tarde."
"A server error stopped your order from being placed. Please try to place your order again.","Un error del servidor detuvo su pedido de ser completado. Por favor, intente hacer su pedido de nuevo."
"The transaction details are unavailable. Please try again later.","Los detalles de la transacción no están disponibles. Por favor prueba de nuevo después."
"Authorize.Net Direct Post (Deprecated)","Post Directo Authorize.Net (Obsoleto)"
"Signature Key","Clave de Firma"
"There was an error while trying to process the request.","Hubo un error al intentar procesar la solicitud."
"This transaction cannot be refunded with its current status.","Esta transacción no puede ser reembolsada con su estado actual."
"The authenticity of the gateway response could not be verified.","La autenticidad de la respuesta de la puerta de enlace no se pudo verificar."
"Basic Authorize.Net Settings","Configuración básica de Authorize.Net"
Environment,Entorno
"Public Client Key","Clave Pública del Cliente"
"Merchant MD5 (deprecated)","MD5 de Comercio (obsoleto)"
"Advanced Authorize.Net Settings","Configuración Avanzada de Authorize.Net"
"Enable Credit Card Verification Field","Habilitar Campo de Verificación de Tarjeta de Crédito"
"Invalid request to gateway.","Solicitud no válida."
"Invalid gateway credentials.","Credenciales de pasarela no válidas."
"Transaction has been declined. Please try again later.","La operación ha sido rechazada. Por favor, inténtalo más tarde."
options,opciones
"Select all","Seleccionar todo"
"Deselect all","Anular todas las selecciones"
"%s of %s selected","%s de %s seleccionados"
"B2B Features","Características B2B"
"Invalid Form Key. Please refresh the page.","Clave de formulario inválida. Por favor actualice la página."
"You entered an invalid Secret Key. Please refresh the page.","Has introducido una clave secreta inválida. Por favor actualice la página."
"Cache Storage Management","Administración de almacenamiento de caché"
"Flush Magento Cache","Vaciar la caché de Magento"
"The cache storage may contain additional data. Are you sure that you want to flush it?","El almacenamiento de caché puede contener datos adicionales. ¿Estás seguro de que deseas eliminarlo?"
